,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Windspeed,Max Temp
110,severo-kurilsk,98,RU,2019-06-06 13:34:47,96,50.68,156.12,8.97,40.91
111,zomba,20,MW,2019-06-06 13:34:47,65,-15.39,35.33,6.93,78.8
112,manta,13,RO,2019-06-06 13:34:47,63,45.1,24.1,3.33,72.77
113,coquimbo,0,CL,2019-06-06 13:34:47,57,-29.95,-71.34,6.93,51.8
114,goderich,0,CA,2019-06-06 13:34:47,84,43.74,-81.71,7.83,53.62
115,portland,75,US,2019-06-06 13:29:43,71,45.52,-122.67,3.47,49.35
116,georgetown,20,GY,2019-06-06 13:34:10,78,6.8,-58.16,11.41,83.35
117,margate,0,AU,2019-06-06 13:34:34,62,-43.03,147.26,14.99,51.76
118,terney,94,RU,2019-06-06 13:34:48,97,45.05,136.61,3.02,47.75
119,rincon,1,US,2019-06-06 13:33:21,88,32.3,-81.24,8.99,77.41
120,chibombo,31,ZM,2019-06-06 13:34:48,27,-14.68,28.09,4.85,73.85
121,beringovskiy,46,RU,2019-06-06 13:34:48,86,63.05,179.32,6.44,41.09
122,chuy,53,UY,2019-06-06 13:34:48,69,-33.69,-53.46,14.72,64.85
123,plettenberg bay,4,ZA,2019-06-06 13:34:48,58,-34.05,23.37,6.06,52.79
124,verkhoyansk,0,RU,2019-06-06 13:34:49,43,67.55,133.39,9.71,46.49
125,saskylakh,52,RU,2019-06-06 13:34:49,41,71.97,114.09,7.99,51.17
126,kjollefjord,75,NO,2019-06-06 13:34:49,93,70.95,27.35,3.36,47.19
128,kapit,100,MY,2019-06-06 13:34:49,96,2.02,112.94,1.41,74.75
129,katangli,0,RU,2019-06-06 13:34:49,94,51.71,143.23,2.39,38.57
130,katsuura,75,JP,2019-06-06 13:34:49,94,33.93,134.5,14.99,71.4
131,hami,2,CN,2019-06-06 13:34:49,17,42.84,93.51,2.75,83.21
132,tairua,81,NZ,2019-06-06 13:34:49,92,-37.02,175.85,13.51,54.01
133,salalah,40,OM,2019-06-06 13:34:50,63,17.01,54.1,9.17,91.4
134,brooks,100,CA,2019-06-06 13:34:50,65,50.57,-111.89,3,57.99
135,roald,0,NO,2019-06-06 13:34:50,77,62.58,6.12,19.46,68.76
136,vardo,75,US,2019-06-06 13:34:50,73,39.62,-77.74,3.36,75.38
137,cabedelo,40,BR,2019-06-06 13:34:50,58,-6.97,-34.84,16.11,86
138,comodoro rivadavia,40,AR,2019-06-06 13:34:40,66,-45.87,-67.48,10.29,50
139,ancud,75,CL,2019-06-06 13:34:50,93,-41.87,-73.83,4.7,44.6
140,ribeira grande,75,PT,2019-06-06 13:34:50,73,38.52,-28.7,16.11,69.8
141,lata,4,IN,2019-06-06 13:34:51,78,30.78,78.62,8.93,32.81
142,victoria,75,BN,2019-06-06 13:32:20,83,5.28,115.24,1.12,84.69
143,tasiilaq,75,GL,2019-06-06 13:34:51,55,65.61,-37.64,8.05,35.6
144,tuktoyaktuk,47,CA,2019-06-06 13:34:51,69,69.44,-133.03,8.41,41.45
145,khatanga,30,RU,2019-06-06 13:34:51,47,71.98,102.47,10.89,59.63
146,hilo,1,US,2019-06-06 13:30:59,88,19.71,-155.08,7.87,69.93
147,yulara,0,AU,2019-06-06 13:34:51,42,-25.24,130.99,4.7,44.6
148,tomatlan,100,MX,2019-06-06 13:34:52,62,19.93,-105.25,1.92,84.83
149,geraldton,75,CA,2019-06-06 13:34:52,66,49.72,-86.95,2.24,51.8
150,marsabit,14,KE,2019-06-06 13:34:52,33,2.34,37.99,10.58,92.75
151,saldanha,99,PT,2019-06-06 13:34:52,55,41.42,-6.55,24,63.05
152,sinnamary,6,GF,2019-06-06 13:34:52,76,5.38,-52.96,7,82.31
153,hofn,20,IS,2019-06-06 13:34:52,34,64.25,-15.21,24.16,51.8
154,saint anthony,1,US,2019-06-06 13:34:52,66,43.97,-111.68,4.7,52.18
155,izhma,100,RU,2019-06-06 13:34:52,74,65.01,53.91,9.86,50.27
156,valdivia,20,CL,2019-06-06 13:34:53,93,-39.81,-73.25,5.82,48.2
157,san vicente,20,SV,2019-06-06 13:34:54,83,13.64,-88.78,3.36,77
158,rio grande,0,BR,2019-06-06 13:34:54,82,-32.03,-52.1,9.17,62.6
159,vila velha,40,BR,2019-06-06 13:34:54,62,-3.71,-38.6,13.87,84.67
160,chilapa,32,MX,2019-06-06 13:34:54,55,22.03,-105.23,1.88,86.45
161,te anau,82,NZ,2019-06-06 13:34:54,97,-45.41,167.72,3.78,34.79
162,viedma,52,AR,2019-06-06 13:34:55,31,-40.81,-62.99,22.7,64.31
164,evensk,0,RU,2019-06-06 13:34:55,73,61.92,159.24,2.17,46.13
165,tuatapere,83,NZ,2019-06-06 13:34:55,69,-46.13,167.69,30.71,49.73
166,ensenada,2,MX,2019-06-06 13:34:55,92,31.86,-116.62,1.99,61
167,pandan,100,PH,2019-06-06 13:34:55,75,11.72,122.09,13.44,85.37
168,belaya gora,0,RU,2019-06-06 13:34:55,46,68.54,146.19,6.53,42.35
169,puerto ayora,75,EC,2019-06-06 13:34:55,78,-0.74,-90.35,13.87,74.61
170,vila,40,IT,2019-06-06 13:34:56,64,45.18,8.4,2.24,73.89
171,iqaluit,90,CA,2019-06-06 13:34:56,75,63.75,-68.52,3.36,41
172,leningradskiy,93,RU,2019-06-06 13:34:56,93,69.38,178.42,9.26,35.87
173,san patricio,49,PY,2019-06-06 13:34:56,65,-26.98,-56.83,11.79,69.17
174,mar del plata,96,AR,2019-06-06 13:30:27,61,-46.43,-67.52,24.72,46.67
175,ust-tarka,100,RU,2019-06-06 13:34:56,91,55.56,75.71,7.18,53.51
176,klaksvik,100,FO,2019-06-06 13:34:56,81,62.23,-6.59,13.87,48.2
178,linhares,1,BR,2019-06-06 13:34:56,49,-19.38,-40.06,10.13,78.35
179,price,1,US,2019-06-06 13:34:57,66,39.6,-110.81,4.7,56.89
180,ponta do sol,1,BR,2019-06-06 13:34:57,63,-20.63,-46,8.1,66.47
181,riyadh,40,SA,2019-06-06 13:34:57,9,24.63,46.72,4.7,104
182,narbonne,0,FR,2019-06-06 13:34:57,46,43.18,3,12.75,71.51
184,owando,99,CG,2019-06-06 13:34:57,39,-0.49,15.91,2.53,90.05
185,el monte,90,US,2019-06-06 13:34:57,82,34.08,-118.04,1.83,61.36
187,westport,75,IE,2019-06-06 13:34:58,87,53.8,-9.52,10.29,50.67
188,tecpan,20,GT,2019-06-06 13:34:58,93,14.76,-90.99,2.13,64.4
189,vilhena,0,BR,2019-06-06 13:34:58,69,-12.74,-60.15,9.17,75.2
190,san cristobal,75,EC,2019-06-06 13:34:58,93,-0.39,-78.55,3.36,50.95
191,port elizabeth,90,US,2019-06-06 13:34:58,94,39.31,-74.98,4.7,75.83
192,torbay,75,CA,2019-06-06 13:33:20,87,47.66,-52.73,14.99,54.72
193,barinas,85,VE,2019-06-06 13:34:58,46,8.64,-70.23,2.48,86.09
194,puerto escondido,40,MX,2019-06-06 13:34:59,69,15.86,-97.07,5.82,77
195,koyelga,100,RU,2019-06-06 13:34:59,78,54.65,60.9,9.62,57.29
196,east london,20,ZA,2019-06-06 13:31:48,51,-33.02,27.91,19.46,59
197,srednekolymsk,59,RU,2019-06-06 13:34:59,50,67.46,153.71,3.27,39.47
198,camacha,20,PT,2019-06-06 13:34:59,56,33.08,-16.33,14.99,69.24
199,kangasala,0,FI,2019-06-06 13:34:59,37,61.46,24.07,4.7,85.35
200,ciudad guayana,1,VE,2019-06-06 13:34:59,44,8.32,-62.69,8.34,91.67
201,luderitz,0,NA,2019-06-06 13:34:59,43,-26.65,15.16,21.92,71.6
202,nova vicosa,74,BR,2019-06-06 13:32:02,58,-17.89,-39.37,10.83,78.53
203,port-gentil,20,GA,2019-06-06 13:32:35,66,-0.72,8.78,12.75,84.2
204,hovd,0,NO,2019-06-06 13:34:59,60,63.83,10.7,6.93,68.29
205,yatou,100,CM,2019-06-06 13:35:00,86,3.63,9.81,17.83,79.25
206,pisco,75,PE,2019-06-06 13:35:00,30,-13.71,-76.2,4.7,67.41
207,buchanan,40,LR,2019-06-06 13:35:00,70,5.88,-10.05,3.36,87.8
208,xianyang,0,CN,2019-06-06 13:35:00,73,34.31,108.72,4.47,71.6
210,am timan,100,TD,2019-06-06 13:35:00,43,11.04,20.28,3.58,92.39
211,aykhal,75,RU,2019-06-06 13:35:00,42,65.95,111.51,2.24,64.4
212,grand gaube,75,MU,2019-06-06 13:35:00,69,-20.01,57.66,17.22,74.61
213,soller,40,DE,2019-06-06 13:35:01,55,50.73,6.56,8.05,63.18
214,hirara,56,JP,2019-06-06 13:35:01,88,24.8,125.28,15.73,82.85
215,ouango,76,CD,2019-06-06 13:35:01,40,4.31,22.55,4.18,90.23
216,moerai,0,PF,2019-06-06 13:35:01,77,-22.43,-151.33,17.63,72.59
218,naze,100,NG,2019-06-06 13:35:01,96,5.43,7.07,3.58,74.93
219,marsa matruh,0,EG,2019-06-06 13:35:01,73,31.35,27.25,13.87,75.2
220,vanimo,81,PG,2019-06-06 13:35:01,77,-2.67,141.3,5.84,82.31
221,changping,0,CN,2019-06-06 13:35:01,82,40.22,116.23,4.47,69.58
222,cherskiy,99,RU,2019-06-06 13:35:02,62,68.75,161.3,7.09,36.41
223,bantou,100,CN,2019-06-06 13:35:02,95,26.22,117.49,4.21,72.05
224,jiwani,0,PK,2019-06-06 13:35:02,73,25.05,61.74,16.2,88.07
225,kokopo,58,PG,2019-06-06 13:35:02,93,-4.34,152.27,2.44,72.59
226,mahajanga,20,MG,2019-06-06 13:35:02,38,-15.72,46.32,11.41,89.6
227,arraial do cabo,0,BR,2019-06-06 13:35:02,69,-22.97,-42.02,5.82,73.4
228,belmonte,94,PT,2019-06-06 13:35:02,56,40.36,-7.35,13,63
230,aden,2,YE,2019-06-06 13:34:32,52,12.79,45.03,11.45,92.57
231,longyearbyen,90,NO,2019-06-06 13:35:03,80,78.22,15.63,14.99,35.6
232,howard springs,0,AU,2019-06-06 13:35:03,31,-12.5,131.05,6.93,74.7
233,bayji,73,IQ,2019-06-06 13:35:03,12,34.93,43.49,19.64,104.99
234,broken hill,0,AU,2019-06-06 13:35:03,75,-31.97,141.45,11.41,44.6
235,kaitangata,37,NZ,2019-06-06 13:35:03,77,-46.28,169.85,5.99,44.01
236,soria,1,ES,2019-06-06 13:35:03,27,41.76,-2.46,7,64.99
237,balkanabat,22,TM,2019-06-06 13:35:04,17,39.51,54.36,9.95,97.61
238,varberg,0,SE,2019-06-06 13:35:04,39,57.11,12.25,17.22,80.6
239,boromlya,0,UA,2019-06-06 13:35:04,70,50.62,34.97,7.61,76.55
240,aklavik,20,CA,2019-06-06 13:35:04,62,68.22,-135.01,8.05,49.71
241,waingapu,95,ID,2019-06-06 13:35:04,88,-9.65,120.26,11.43,72.95
243,rameshki,6,RU,2019-06-06 13:35:04,49,57.35,36.05,2.42,80.87
244,hithadhoo,100,MV,2019-06-06 13:35:04,80,-0.6,73.08,17.09,83.39
245,namibe,0,AO,2019-06-06 13:35:04,69,-15.19,12.15,9.17,75.2
246,pacific grove,90,US,2019-06-06 13:35:05,93,36.62,-121.92,10.29,53.91
247,inongo,43,CD,2019-06-06 13:35:05,26,-1.93,18.29,3.36,92.57
248,blagoveshchenka,0,RU,2019-06-06 13:35:05,66,52.83,79.87,3.76,49.55
249,areia branca,75,BR,2019-06-06 13:35:05,88,-10.76,-37.31,2.24,77
250,santiago de cao,90,PE,2019-06-06 13:35:05,88,-7.96,-79.24,3.36,66.2
251,thompson,32,CA,2019-06-06 13:35:05,32,55.74,-97.86,6.76,61.97
253,isangel,90,VU,2019-06-06 13:35:06,78,-19.55,169.27,17.11,75.2
254,panaba,87,MX,2019-06-06 13:35:06,61,21.28,-88.27,7.05,87.71
255,mayo,75,CA,2019-06-06 13:35:06,66,63.59,-135.9,5.82,51.8
256,yasnyy,99,RU,2019-06-06 13:35:06,36,64.04,44.09,3.4,65.39
257,mulchen,19,CL,2019-06-06 13:35:06,80,-37.72,-72.23,4.07,51.71
258,carnarvon,0,ZA,2019-06-06 13:35:06,31,-30.97,22.13,10.11,50.99
259,cidreira,71,BR,2019-06-06 13:35:06,61,-30.17,-50.22,10.45,71.51
260,jambi,100,ID,2019-06-06 13:31:39,95,-1.6,103.62,1.03,75.65
261,labuhan,46,ID,2019-06-06 13:35:06,96,-2.54,115.51,2.95,74.93
262,merauke,44,ID,2019-06-06 13:35:07,81,-8.49,140.4,26.44,80.69
263,cap malheureux,75,MU,2019-06-06 13:35:07,69,-19.98,57.61,17.22,74.62
264,port hawkesbury,90,CA,2019-06-06 13:35:07,100,45.62,-61.36,4.7,47.97
265,port hedland,4,AU,2019-06-06 13:35:07,67,-20.31,118.58,4.7,57.2
266,lamar,1,US,2019-06-06 13:35:07,93,38.09,-102.62,10.29,57.2
267,manokwari,62,ID,2019-06-06 13:35:07,75,-0.87,134.08,4.72,75.11
268,batagay-alyta,0,RU,2019-06-06 13:35:08,81,67.8,130.41,4.9,31.37
269,imbituba,40,BR,2019-06-06 13:35:08,88,-28.24,-48.67,6.93,68
271,balabac,58,PH,2019-06-06 13:35:08,78,7.99,117.06,17.52,85.19
272,bodden town,40,KY,2019-06-06 13:35:08,74,19.28,-81.25,5.82,86.29
273,alofi,1,NU,2019-06-06 13:35:08,94,-19.06,-169.92,3.36,75.2
274,ambilobe,0,MG,2019-06-06 13:35:08,69,-13.19,49.05,4.68,76.73
276,airai,37,TL,2019-06-06 13:35:08,77,-8.93,125.41,8.97,72.23
277,mildura,90,AU,2019-06-06 13:35:09,81,-34.18,142.16,3.36,48.92
278,ust-maya,0,RU,2019-06-06 13:35:09,83,60.42,134.54,5.88,56.03
279,kungurtug,5,RU,2019-06-06 13:35:09,31,50.6,97.53,1.41,46.31
280,rock springs,1,US,2019-06-06 13:35:09,54,41.59,-109.2,3.15,53.6
281,mahebourg,75,MU,2019-06-06 13:35:09,69,-20.41,57.7,17.22,74.08
282,singapore,75,MY,2019-06-06 13:33:58,83,1.29,103.85,4.7,80.29
283,andros town,75,BS,2019-06-06 13:35:09,69,24.73,-77.79,8.05,83.88
284,sitka,100,US,2019-06-06 13:35:09,56,37.17,-99.65,9.73,75.29
286,rach gia,40,VN,2019-06-06 13:35:10,88,10.02,105.08,3.36,78.8
287,santiago,40,CL,2019-06-06 13:31:09,87,-33.44,-70.65,3.36,54.86
288,elko,1,US,2019-06-06 13:35:10,76,40.83,-115.76,7.85,57.65
289,francistown,0,BW,2019-06-06 13:32:09,13,-21.17,27.5,6.93,84.2
290,derzhavinsk,100,KZ,2019-06-06 13:35:10,60,51.1,66.31,15.23,61.79
291,bandarbeyla,94,SO,2019-06-06 13:35:11,45,9.49,50.81,12.91,90.59
292,hamilton,75,BM,2019-06-06 13:35:11,83,32.3,-64.78,6.93,76.66
293,nivala,0,FI,2019-06-06 13:35:11,42,63.93,24.96,5.99,84.99
294,tolbazy,40,RU,2019-06-06 13:35:11,53,54.01,55.89,22.37,73.15
295,buala,100,SB,2019-06-06 13:35:12,79,-8.15,159.59,12.88,81.95
298,jiuquan,100,CN,2019-06-06 13:35:12,29,39.73,98.49,7.11,69.17
299,koulikoro,20,ML,2019-06-06 13:35:12,37,12.86,-7.56,10.29,96.8
300,praya,20,ID,2019-06-06 13:35:12,94,-8.71,116.27,1.45,75.2
302,nanortalik,92,GL,2019-06-06 13:35:12,63,60.14,-45.24,50.31,41.45
303,lumphat,100,KH,2019-06-06 13:35:12,83,13.5,106.97,4.34,79.79
304,namatanai,66,PG,2019-06-06 13:35:12,89,-3.66,152.44,9.51,78.71
305,ponta delgada,40,PT,2019-06-06 13:31:46,73,37.73,-25.67,16.11,69.8
306,wageningen,90,NL,2019-06-06 13:35:12,59,51.98,5.66,14.99,65.82
307,cabo san lucas,75,MX,2019-06-06 13:31:35,73,22.89,-109.91,6.93,69.33
308,norman wells,20,CA,2019-06-06 13:30:16,65,65.28,-126.83,4.7,39.2
309,talnakh,40,RU,2019-06-06 13:35:13,80,69.49,88.39,20.13,41
311,beaufort,75,MY,2019-06-06 13:35:13,83,5.36,115.76,1.12,82.36
313,sungairaya,100,ID,2019-06-06 13:35:13,72,0.7,108.9,8.77,86.09
314,gorodets,20,RU,2019-06-06 13:35:13,30,56.65,43.48,11.18,84.72
315,zyryanka,100,RU,2019-06-06 13:35:13,46,65.73,150.89,8.86,46.49
316,haicheng,100,CN,2019-06-06 13:35:13,80,40.85,122.74,3.6,67.19
317,celestun,76,MX,2019-06-06 13:35:14,77,20.87,-90.4,11.5,82.85
319,kailua,40,US,2019-06-06 13:35:14,74,21.39,-157.74,9.17,75.74
320,miri,100,NG,2019-06-06 13:35:14,39,10.31,9.75,5.59,92.21
321,bridgetown,90,CA,2019-06-06 13:33:24,100,44.84,-65.29,3.36,55.54
322,khorramshahr,0,IR,2019-06-06 13:35:14,11,30.43,48.18,11.41,116.4
323,grudziadz,0,PL,2019-06-06 13:35:14,32,53.48,18.75,16.11,84.69
324,okha,44,RU,2019-06-06 13:35:14,93,53.59,142.95,6.06,37.13
325,mawlaik,88,MM,2019-06-06 13:35:14,69,23.63,94.42,3.04,79.79
327,sao joao da barra,20,BR,2019-06-06 13:35:15,69,-21.64,-41.05,6.93,74.34
328,ust-omchug,16,RU,2019-06-06 13:35:15,92,61.13,149.63,6.89,45.05
329,senador pompeu,37,BR,2019-06-06 13:35:15,54,-5.58,-39.37,8.05,84.83
330,bethel,90,US,2019-06-06 13:35:16,93,60.79,-161.76,14.99,44.6
331,marawi,100,PH,2019-06-06 13:35:16,88,8,124.29,8.01,78.01
332,taywarah,0,AF,2019-06-06 13:35:16,28,33.35,64.42,15.19,69.71
333,nakonde,29,ZM,2019-06-06 13:35:16,47,-9.33,32.75,4.03,72.59
334,nouakchott,0,MR,2019-06-06 13:35:16,43,18.08,-15.98,13.87,87.8
335,okhotsk,8,RU,2019-06-06 13:35:16,92,59.36,143.24,9.75,40.91
336,kattivakkam,20,IN,2019-06-06 13:35:16,79,13.22,80.32,11.41,88.25
337,vung tau,100,VN,2019-06-06 13:34:05,73,10.35,107.08,7.85,84.29
338,itarema,39,BR,2019-06-06 13:35:16,65,-2.92,-39.92,8.99,86.09
339,kimberley,0,ZA,2019-06-06 13:35:17,27,-28.74,24.76,3.36,64.4
341,novikovo,95,UA,2019-06-06 13:35:17,81,45.05,34.56,6.42,71.51
342,cabra,0,ES,2019-06-06 13:35:17,22,37.47,-4.43,10.29,78.71
343,gbarnga,91,LR,2019-06-06 13:35:17,54,7,-9.47,3.31,89.33
344,komsomolskiy,89,RU,2019-06-06 13:35:17,93,67.55,63.78,6.76,32.27
345,inuvik,20,CA,2019-06-06 13:35:17,57,68.36,-133.71,3.36,50.2
347,tual,64,ID,2019-06-06 13:35:18,82,-5.67,132.75,23.76,82.13
348,greytown,13,ZA,2019-06-06 13:35:18,83,-29.06,30.59,5.14,56.39
349,kodiak,1,US,2019-06-06 13:35:18,78,39.95,-94.76,3.36,70.21
350,antofagasta,90,CL,2019-06-06 13:33:50,72,-23.65,-70.4,4.7,59
351,kaele,99,CM,2019-06-06 13:35:18,49,10.11,14.45,4.21,88.07
353,miura,75,JP,2019-06-06 13:35:18,83,35.17,139.64,5.82,73.9
354,kropotkin,3,RU,2019-06-06 13:35:18,62,45.43,40.58,12.41,77.63
355,challapata,0,BO,2019-06-06 13:35:19,50,-18.9,-66.78,3.27,41.45
