,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Windspeed,Max Temp
47,carutapera,0,BR,1560865350,91,-1.2,-46.02,6.58,81.16
48,warmbad,0,DE,1560865741,47,50.67,13.08,8.05,80.11
49,dikson,100,RU,1560865370,98,73.51,80.55,6.73,35.62
50,castro,90,CL,1560865357,100,-42.48,-73.76,2.24,42.8
51,alofi,69,NU,1560865411,94,-19.06,-169.92,4.7,75.2
52,mormugao,,,,,,,,
53,chumikan,0,RU,1560865741,90,54.72,135.31,4.54,33.1
54,port lincoln,67,AU,1560865376,63,-34.72,135.86,7.43,53.98
55,avarua,0,CK,1560865356,88,-21.21,-159.78,4.7,73.4
56,juneau,90,US,1560865534,93,58.3,-134.42,6.93,50.25
57,ushuaia,0,AR,1560865357,65,-54.81,-68.31,4.38,39.61
58,champerico,75,MX,1560865742,88,16.38,-93.6,1.01,71.6
59,cape town,0,ZA,1560865364,22,-33.93,18.42,11.41,80.6
60,angra,,,,,,,,
61,kumeny,100,RU,1560865742,63,58.11,49.92,1.77,68.38
62,orangevale,1,US,1560865552,72,38.68,-121.23,3.24,68.18
63,hasaki,40,JP,1560865375,93,35.73,140.83,4.7,67.35
64,barentsburg,,,,,,,,
65,la ronge,20,CA,1560865209,67,55.1,-105.3,5.82,59
66,katsuura,40,JP,1560865406,94,33.93,134.5,5.82,69.28
67,jamestown,0,AU,1560865236,82,-33.21,138.6,2.59,41.56
68,dukat,100,RS,1560865742,65,42.44,22.31,1.99,73.99
69,cleveland,75,US,1560865608,88,41.51,-81.69,6.89,64.83
70,lavrentiya,0,RU,1560865425,51,65.58,-170.99,6.69,46.24
71,sosva,98,RU,1560865742,54,59.17,61.86,7.31,59.02
72,lebu,100,ET,1560865372,80,8.96,38.73,7.27,61.72
73,turayf,0,SA,1560865370,22,31.68,38.65,11.41,89.6
74,kapaa,75,US,1560865367,88,22.08,-159.32,12.75,76.05
75,toribio,75,CO,1560865743,73,2.95,-76.27,5.82,75.2
76,fare,0,PF,1560865431,80,-16.7,-151.02,18.7,79.9
77,jacareacanga,3,BR,1560865358,40,-6.22,-57.76,4.41,90.52
78,saleaula,,,,,,,,
79,casalmaggiore,20,IT,1560865743,43,44.99,10.42,3.36,86.5
80,palabuhanratu,,,,,,,,
81,hadejia,33,NG,1560865743,18,12.45,10.04,3.27,102.58
82,tuktoyaktuk,75,CA,1560865377,100,69.44,-133.03,3.36,33.8
83,punta arenas,0,CL,1560865359,70,-53.16,-70.91,8.05,45.66
84,dickson,90,US,1560865743,94,36.08,-87.39,4.7,71.22
85,norman wells,75,CA,1560865372,93,65.28,-126.83,3.36,53.6
86,hermanus,76,ZA,1560865362,57,-34.42,19.24,3.27,67.48
87,lingao,99,CN,1560865744,84,19.91,109.69,14.52,84.04
88,rastede,40,DE,1560865744,45,53.25,8.2,9.17,82.04
89,kodiak,40,US,1560865352,83,39.95,-94.76,5.82,69.94
90,barrow,100,AR,1560865354,90,-38.31,-60.23,12.8,52.18
91,umzimvubu,,,,,,,,
92,puerto ayora,75,EC,1560865360,83,-0.74,-90.35,13.87,73.4
93,leningradskiy,78,RU,1560865375,83,69.38,178.42,9.69,38.14
94,jiddah,,,,,,,,
95,severo-kurilsk,60,RU,1560865356,89,50.68,156.12,19.66,42.82
96,itarema,8,BR,1560865744,64,-2.92,-39.92,9.89,85.84
97,vaitupu,,,,,,,,
98,upernavik,50,GL,1560865359,83,72.79,-56.15,3.36,35.98
99,flinders,6,AU,1560865377,71,-34.58,150.85,12.75,52.18
100,nizhneyansk,,,,,,,,
101,new norfolk,75,AU,1560865353,75,-42.78,147.06,17.22,44.56
102,miyako,0,JP,1560865744,60,33.63,130.94,2.24,70
103,ponta delgada,40,PT,1560865745,77,37.73,-25.67,8.05,68
104,touros,3,BR,1560865376,80,-5.2,-35.46,17.47,80.98
105,bluff,0,AU,1560865351,65,-23.58,149.07,6.35,53.62
106,cabo san lucas,5,MX,1560865326,36,22.89,-109.91,5.82,79.09
107,narsaq,40,GL,1560865379,58,60.91,-46.05,8.05,55.4
108,saint george,40,GR,1560865422,33,39.45,22.34,6.93,87.55
109,laguna,75,MX,1560865364,73,27.52,-110.01,8.05,75.2
110,strezhevoy,0,RU,1560865376,45,60.73,77.6,6.71,62.6
111,paignton,40,GB,1560865745,87,50.44,-3.56,4.7,58.01
112,vestmannaeyjar,40,IS,1560865380,66,63.44,-20.27,19.46,51.8
113,gornoye loo,40,RU,1560865745,58,43.72,39.61,11.18,81.34
114,thinadhoo,100,MV,1560865379,70,0.53,72.93,7.9,84.94
115,bethel,1,US,1560865369,100,60.79,-161.76,10.29,54.52
116,hirara,98,JP,1560865745,91,24.8,125.28,15.77,82.24
117,palencia,20,ES,1560865745,21,42.01,-4.53,25.28,79.75
118,bengkulu,,,,,,,,
119,suhbaatar,0,MN,1560865746,72,50.23,106.21,3.83,56.86
120,saskylakh,67,RU,1560865367,61,71.97,114.09,15.86,72.16
121,lompoc,90,US,1560865746,87,34.64,-120.46,1.45,56.14
122,los llanos de aridane,75,ES,1560865423,83,28.66,-17.92,6.93,71.2
123,puerto escondido,40,MX,1560865376,88,15.86,-97.07,6.93,77
124,baykit,58,RU,1560865746,63,61.68,96.39,4.16,54.7
125,bredasdorp,66,ZA,1560865371,21,-34.53,20.04,3.36,82.4
126,kruisfontein,0,ZA,1560865400,45,-34,24.73,5.84,64.78
127,bambous virieux,20,MU,1560865357,57,-20.34,57.76,17.22,73.98
128,haines junction,98,CA,1560865419,71,60.75,-137.51,3.96,41.2
129,nador,20,MA,1560865746,60,35.17,-2.93,11.41,77.04
130,nizwa,100,OM,1560865746,11,22.93,57.53,0.74,102.04
131,tongren,100,CN,1560865746,96,27.72,109.18,1.12,71.98
132,blairmore,75,CA,1560865746,72,49.61,-114.44,2.93,56.79
133,east london,0,ZA,1560865412,68,-33.02,27.91,16.11,69.8
134,sentyabrskiy,,,,,,,,
135,pangnirtung,75,CA,1560865365,80,66.15,-65.72,5.82,41
136,mandalgovi,100,MN,1560865405,36,45.76,106.27,12.91,69.82
137,husavik,74,CA,1560865411,35,50.56,-96.99,3,62.94
138,esperance,75,TT,1560865747,94,10.24,-61.45,6.93,79.7
139,clyde river,1,CA,1560865396,62,70.47,-68.59,4.7,55.4
140,ust-nera,94,RU,1560865747,82,64.57,143.24,2.42,45.7
141,faanui,1,PF,1560865354,80,-16.48,-151.75,19.93,80.26
142,airai,64,TL,1560865352,79,-8.93,125.41,5.99,69.1
143,attawapiskat,,,,,,,,
144,itoman,75,JP,1560865747,94,26.12,127.67,8.05,79.09
145,tromso,75,NO,1560865747,66,69.65,18.96,4.7,53.58
146,louisbourg,,,,,,,,
147,meyungs,,,,,,,,
148,lethbridge,90,CA,1560865610,77,49.69,-112.85,9.17,59
149,waynesville,90,US,1560865747,94,37.83,-92.2,4.56,67.48
150,muzaffarabad,100,PK,1560865407,70,34.37,73.47,7.43,63.7
151,mahebourg,20,MU,1560865359,57,-20.41,57.7,17.22,73.94
152,sadowara,,,,,,,,
153,karasuk,4,RU,1560865748,76,53.73,78.03,11.18,53.98
154,bathsheba,40,BB,1560865255,66,13.22,-59.52,25.28,86
155,quatre cocos,20,MU,1560865748,57,-20.21,57.76,17.22,74.1
156,yueyang,10,CN,1560865748,94,29.36,113.12,2.55,73.78
157,fortuna,0,ES,1560865392,29,38.18,-1.13,11.41,82.31
158,ahipara,92,NZ,1560865748,68,-35.17,173.16,15.93,56.86
159,morro bay,1,US,1560865748,100,35.37,-120.85,3.36,54.16
160,vila velha,75,BR,1560865748,78,-3.71,-38.6,6.93,83.12
161,cap malheureux,20,MU,1560865435,57,-19.98,57.61,17.22,74.19
162,krasnyy chikoy,26,RU,1560865749,86,50.36,108.75,3.2,55.96
163,tsihombe,,,,,,,,
164,puno,0,PE,1560865749,55,-15.84,-70.03,3.36,39.2
165,dossor,19,KZ,1560865749,17,47.52,52.98,6.67,89.62
166,maldonado,75,UY,1560865749,88,-34.91,-54.96,8.05,66.2
167,srednekolymsk,100,RU,1560865394,57,67.46,153.71,1.7,62.8
168,hithadhoo,100,MV,1560865289,74,-0.6,73.08,5.35,84.58
169,kuche,,,,,,,,
170,tiznit,100,MA,1560865749,87,29.7,-9.73,9.35,66.4
171,taolanaro,,,,,,,,
172,nabire,98,ID,1560865749,96,-3.36,135.5,4.16,69.46
173,avera,40,US,1560865407,83,33.19,-82.53,4.7,79.45
174,kyzyl-suu,67,KG,1560865750,62,42.34,78,1.32,61.72
175,amderma,,,,,,,,
176,kompaniyivka,99,UA,1560865750,72,48.25,32.21,8.9,77.92
177,pampa,1,US,1560865480,82,35.54,-100.96,4.7,66.6
178,senno,40,RU,1560865750,41,57.76,27.95,6.71,77
179,bayangol,55,MN,1560865750,72,48.91,106.09,5.79,61.54
180,ponta do sol,0,BR,1560865375,52,-20.63,-46,4.83,72.34
181,honiara,75,SB,1560865750,100,-9.43,159.96,3.36,77
182,torbay,75,CA,1560865361,93,47.66,-52.73,11.41,55.35
183,vestmanna,75,FO,1560865750,87,62.16,-7.17,9.17,48.2
184,pandaria,50,IN,1560865750,51,22.22,81.41,3.09,84.4
185,freeport,75,BS,1560865582,83,26.54,-78.7,6.93,82.4
186,marystown,39,CA,1560865751,84,47.17,-55.16,8.84,57.76
187,langenburg,0,CA,1560865751,61,50.84,-101.7,3.22,61.72
188,zhigansk,15,RU,1560865380,36,66.77,123.37,2.39,64.06
189,coquimbo,0,CL,1560865208,57,-29.95,-71.34,8.05,42.94
190,kamina,24,CD,1560865751,26,-8.74,25,5.46,79.36
191,pevek,100,RU,1560865378,73,69.7,170.27,6.33,39.94
192,klaksvik,75,FO,1560865380,87,62.23,-6.59,9.17,48.2
193,guerrero negro,41,MX,1560865751,85,27.97,-114.04,8.79,61.72
194,illoqqortoormiut,,,,,,,,
195,dunedin,0,NZ,1560865143,73,-45.87,170.5,1.99,41
196,koslan,2,RU,1560865751,36,63.46,48.9,8.57,63.7
197,broome,20,GB,1560865393,60,52.47,1.45,5.82,67.8
198,jumla,86,NP,1560865752,94,29.28,82.18,1.45,49.12
199,tiksi,100,RU,1560865352,54,71.64,128.87,10.69,46.6
200,nautla,8,MX,1560865752,73,20.22,-96.78,3.49,85.12
201,thompson,20,CA,1560865355,54,55.74,-97.86,3.36,59
202,vardo,75,US,1560865164,88,39.62,-77.74,3.36,75.38
203,troitsko-pechorsk,50,RU,1560865752,47,62.71,56.19,7.09,53.26
204,hauterive,0,FR,1560865752,23,46.09,3.45,4.7,84.69
205,san lazaro,75,BZ,1560865752,79,18.04,-88.66,11.41,85.03
206,talcahuano,0,CL,1560865752,100,-36.72,-73.12,5.82,42.8
207,nichinan,100,JP,1560865753,85,31.65,131.31,1.23,63.16
208,catuday,61,PH,1560865418,67,16.29,119.81,0.22,86.74
209,amahai,27,ID,1560865753,90,-3.31,129,11.5,80.01
210,freetown,75,BS,1560865753,83,26.61,-78.36,6.93,82.4
211,grand river south east,,,,,,,,
212,cidreira,69,BR,1560865412,58,-30.17,-50.22,8.32,74.68
213,luderitz,76,NA,1560865349,14,-26.65,15.16,3.36,93.2
214,tarata,90,PE,1560865753,82,-17.47,-70.03,3.36,55.4
215,hovd,40,NO,1560865400,76,63.83,10.7,14.99,61.3
216,georgetown,75,GY,1560865373,83,6.8,-58.16,6.93,83.37
217,lorengau,99,PG,1560865388,82,-2.02,147.27,7.05,78.82
218,kaitangata,55,NZ,1560865371,82,-46.28,169.85,1.99,32
219,tahe,54,CN,1560865753,49,52.34,124.71,5.59,61.9
220,mogadishu,75,SO,1560865652,66,2.04,45.34,16.11,84.2
221,mount isa,0,AU,1560865754,37,-20.73,139.49,6.93,55.4
222,gorele,75,TR,1560865754,88,41.03,39,4.7,75.07
223,provideniya,100,RU,1560865365,48,64.42,-173.23,1.21,58.84
224,saint anthony,1,US,1560865420,81,43.97,-111.68,4.7,50.59
225,jardim,0,BR,1560865754,52,-21.48,-56.15,10.22,78.28
226,nuuk,40,GL,1560865754,66,64.17,-51.74,11.41,51.4
227,gunjur,0,GM,1560865754,49,13.18,-16.76,9.17,91.4
228,bitung,40,ID,1560865382,94,1.44,125.19,1.12,77
229,eureka,1,US,1560865502,100,40.8,-124.16,30.89,50.59
230,anan,40,JP,1560865755,94,33.91,134.64,5.82,69.35
231,susanville,2,US,1560865755,62,40.42,-120.65,3.74,55.02
232,srandakan,57,ID,1560865755,81,-7.94,110.25,11.32,76.66
233,geraldton,90,CA,1560865508,71,49.72,-86.95,8.05,51.8
234,carauari,0,BR,1560865755,53,-4.88,-66.9,0.92,90.7
235,elizabeth city,1,US,1560865272,74,36.3,-76.22,4.7,81.03
236,leshukonskoye,0,RU,1560865405,40,64.9,45.76,8.57,55.96
237,rocha,98,UY,1560865384,91,-34.48,-54.34,12.55,64.6
238,vasyurinskaya,20,RU,1560865755,31,45.12,39.42,11.18,92.82
239,de aar,8,ZA,1560865755,27,-30.65,24.01,5.53,62.98
240,hokitika,0,NZ,1560865755,50,-42.72,170.96,4.74,44.8
241,batemans bay,0,AU,1560865756,84,-35.71,150.18,1.01,38.71
242,kiruna,90,SE,1560865756,93,67.86,20.23,5.82,48.2
243,antofagasta,20,CL,1560865203,76,-23.65,-70.4,3.36,61.23
244,gardan diwal,,,,,,,,
245,atbasar,35,KZ,1560865756,81,51.81,68.36,1.68,55.42
246,hellvik,75,NO,1560865756,67,59.92,5.78,14.99,61.52
247,tucurui,22,BR,1560865756,49,-3.77,-49.67,4.21,89.8
248,victor harbor,0,AU,1560865756,87,-35.55,138.62,4.7,42.94
249,carballo,75,ES,1560865756,82,43.21,-8.69,12.75,62.58
250,launceston,90,AU,1560865757,81,-41.43,147.14,4.7,43.81
251,kungurtug,0,RU,1560865757,45,50.6,97.53,3.91,51.82
252,salalah,75,OM,1560865422,79,17.01,54.1,13.87,89.6
253,changqing,75,CN,1560865757,100,31.81,117.24,4.47,73.4
254,swan river,9,CA,1560865757,29,52.11,-101.27,5.35,64.42
255,honningsvag,79,NO,1560865757,78,70.98,25.97,11.36,39.76
256,iguape,77,BR,1560865757,68,-24.7,-47.56,3.2,74.14
257,murgab,0,TM,1560865757,17,37.5,61.97,6.93,98.6
258,belaya gora,0,RU,1560865757,66,68.54,146.19,11.25,57.58
259,tuatapere,91,NZ,1560865398,75,-46.13,167.69,8.03,48.4
260,empalme,0,MX,1560865758,47,27.96,-110.81,10.33,73.99
261,caravelas,47,BR,1560865369,77,-17.73,-39.27,7.25,74.86
262,xingyi,72,CN,1560865758,95,24.19,102.82,3.58,63.16
263,arraial do cabo,0,BR,1560865371,65,-22.97,-42.02,10.29,76.08
264,kwekwe,0,ZW,1560865758,26,-18.93,29.81,10.11,70.36
265,waiuku,0,NZ,1560865758,100,-37.25,174.73,16.02,39.6
266,finnsnes,75,NO,1560865758,62,69.23,17.98,9.17,54.7
267,seymchan,87,RU,1560865397,86,62.93,152.39,13.65,49.84
268,kishi,23,NG,1560865758,51,9.08,3.85,6.04,90.52
269,dukhovshchina,0,RU,1560865759,44,55.19,32.41,9.06,73.06
270,qesarya,20,IL,1560865759,58,32.52,34.9,12.75,81.59
271,kavieng,100,PG,1560865363,78,-2.57,150.8,4.56,80.8
272,hami,100,CN,1560865759,26,42.84,93.51,8.21,79.72
273,cockburn town,100,TC,1560865732,80,21.46,-71.14,19.24,81.52
274,mnogovershinnyy,99,RU,1560865759,95,53.94,139.92,5.5,36.52
275,tilichiki,100,RU,1560865362,88,60.47,166.1,1.74,44.62
276,bubaque,100,GW,1560865759,80,11.28,-15.83,8.37,80.26
277,puerto del rosario,40,ES,1560865759,73,28.5,-13.86,9.17,73.4
278,diourbel,40,SN,1560865759,23,14.65,-16.23,13.82,98.62
279,suba,100,CN,1560865759,99,28.73,103.51,0.47,62.98
280,karasjok,0,NO,1560865760,50,69.47,25.52,6.93,53.6
281,san cristobal,40,EC,1560865425,48,-0.39,-78.55,5.82,53.2
282,damghan,12,IR,1560865650,75,36.17,54.34,4.38,66.22
283,ribeira grande,75,PT,1560865360,72,38.52,-28.7,11.41,68
284,adra,100,IN,1560865760,49,23.5,86.68,6.53,98.01
285,constantine,40,DZ,1560865760,26,36.36,6.61,11.41,91.4
286,vaitape,1,PF,1560865760,80,-16.52,-151.75,19.93,80.26
287,north platte,90,US,1560865760,93,41.12,-100.77,5.82,60.17
288,kaeo,100,NZ,1560865355,93,-35.1,173.78,8.81,44.01
289,hobyo,4,SO,1560865419,58,5.35,48.53,27.87,84.04
290,la crosse,40,US,1560865681,93,43.8,-91.24,6.64,63.7
291,pastavy,0,BY,1560865761,57,55.11,26.84,7.83,72.7
292,tessalit,0,ML,1560865761,6,20.2,1.01,15.08,113.74
293,ambilobe,0,MG,1560865382,72,-13.19,49.05,2.59,74.86
294,ukiah,1,US,1560865760,77,39.15,-123.21,2.39,60.44
295,bozeman,1,US,1560865761,76,45.68,-111.04,4,53.74
296,erbaa,75,TR,1560865761,51,40.67,36.56,6.93,82.18
297,curup,100,ID,1560865761,98,-3.47,102.53,4.36,66.76
298,tateyama,53,JP,1560865761,85,36.66,137.31,0.74,69.75
299,acari,86,BR,1560865761,47,-6.44,-36.64,9.78,87.64
300,qaanaaq,100,GL,1560865395,75,77.48,-69.36,8.68,37.06
301,vaovai,,,,,,,,
302,hamilton,40,BM,1560865167,78,32.3,-64.78,6.93,82.36
303,gemena,90,CD,1560865762,82,3.25,19.78,0.78,77.38
304,panguna,100,PG,1560865762,91,-6.32,155.48,5.14,77.02
305,umm kaddadah,35,SD,1560865382,23,13.6,26.69,9.08,96.64
306,yar-sale,76,RU,1560865399,60,66.83,70.83,5.57,43.9
307,hervey bay,0,AU,1560865762,81,-25.3,152.85,3.67,50.65
308,vao,0,EE,1560865427,49,59.1,26.19,13.69,68.02
309,komsomolskiy,100,RU,1560865364,96,67.55,63.78,14.09,34.72
310,ulverstone,100,AU,1560865762,70,-41.16,146.17,6.31,44.55
311,vostok,0,RU,1560865762,94,46.45,135.83,3.09,48.76
312,batagay,0,RU,1560865432,60,67.65,134.64,1.23,55.42
313,walvis bay,0,NA,1560865385,14,-22.95,14.51,10.29,83.39
314,panuco,75,MX,1560865762,82,22.88,-102.54,5.48,60.8
315,mersing,100,MY,1560865421,90,2.43,103.84,2.24,76.12
316,toowoomba,0,AU,1560865612,89,-27.56,151.95,3.36,47.75
317,trelew,100,AR,1560865763,95,-43.25,-65.31,13.18,48.22
318,hirado,100,JP,1560865763,93,33.32,129.49,8.05,68.13
319,iquique,75,CL,1560865763,72,-20.22,-70.14,4.7,59
320,fort saint john,,,,,,,,
321,teguise,75,ES,1560865763,78,29.06,-13.56,5.82,73.4
322,nishihara,75,JP,1560865763,83,35.74,139.53,12.75,71.96
323,lauf,0,DE,1560865763,37,48.65,8.13,4.7,85.59
324,novovarshavka,23,RU,1560865764,84,54.17,74.7,8.16,53.26
325,brokopondo,40,SR,1560865764,70,5.06,-54.98,8.05,84.2
326,bismil,40,TR,1560865764,22,37.85,40.66,13.87,91.8
327,codrington,0,AU,1560865356,93,-28.95,153.24,6.93,52.75
328,sovetskiy,88,RU,1560865764,79,56.76,48.47,5.14,68.38
329,ihosy,0,MG,1560865764,85,-22.4,46.13,4.61,57.4
330,arman,100,RU,1560865764,79,59.7,150.17,7.25,50.38
331,omboue,0,GA,1560865765,84,-1.57,9.26,16.96,75.22
332,huarmey,100,PE,1560865765,84,-10.07,-78.15,11.03,64.6
333,gorno-chuyskiy,,,,,,,,
334,bria,18,CF,1560865765,82,6.54,21.99,3.49,80.8
335,gorin,20,US,1560865765,88,40.36,-92.02,3.36,66.63
336,harper,40,US,1560865765,88,30.3,-99.24,9.13,74.21
337,chikoy,,,,,,,,
338,bonthe,64,SL,1560865381,81,7.53,-12.5,12.12,81.88
339,whitehorse,75,CA,1560865511,86,60.72,-135.06,4.7,40.23
340,pisco,90,PE,1560865397,30,-13.71,-76.2,4.7,66.83
341,amapa,75,HN,1560865765,83,15.09,-87.97,2.24,80.6
342,aksu,40,KZ,1560865688,48,52.04,76.93,13.42,62.6
343,aklavik,20,CA,1560865418,75,68.22,-135.01,2.24,42.49
344,chapais,20,CA,1560865389,71,49.78,-74.86,6.93,50
345,dagana,73,MR,1560865766,6,16.52,-15.51,14.94,116.08
346,aswan,0,EG,1560865766,8,24.09,32.9,9.17,109.4
347,kualakapuas,20,ID,1560865766,88,-3.01,114.39,2.24,78.8
348,hackettstown,90,US,1560865576,100,40.85,-74.83,3.36,69.98
349,san lawrenz,0,MT,1560865766,37,36.06,14.2,9.17,86
350,davila,87,PH,1560865766,76,18.47,120.58,6.15,85.3
351,salinopolis,4,BR,1560865401,78,-0.61,-47.36,15.55,81.88
352,kasongo-lunda,0,CD,1560865436,25,-6.48,16.82,2.48,87.64
353,moryakovskiy zaton,20,RU,1560865766,93,56.7,84.65,11.18,57.74
354,wampusirpi,,,,,,,,
355,mishkino,40,RU,1560865767,31,56.22,46.62,8.95,77
356,sao filipe,0,CV,1560865395,81,14.9,-24.5,26.66,75.04
357,rorvik,20,NO,1560865767,52,64.86,11.24,6.93,64.4
358,ilinge,0,ZA,1560865767,32,-31.98,27.04,5.59,58.12
359,jocotitlan,75,MX,1560865767,76,19.75,-99.92,3.36,60.01
360,saryshagan,,,,,,,,
361,yerofey pavlovich,0,RU,1560865767,54,53.97,121.97,6.44,59.02
362,shipunovo,80,RU,1560865767,86,52.22,82.26,6.85,57.4
363,kaa-khem,0,RU,1560865768,42,51.7,94.56,7.25,55.42
364,turukhansk,19,RU,1560865768,67,65.8,87.96,8.23,54.7
365,manuk mangkaw,98,PH,1560865768,71,4.8,119.85,4.7,84.4
366,bellevue,90,US,1560865617,93,47.61,-122.19,4.7,55.99
367,khandyga,80,RU,1560865770,48,62.65,135.58,8.66,59.38
368,kenai,90,US,1560865364,87,60.55,-151.26,11.41,50.77
369,marawi,100,PH,1560865435,85,8,124.29,5.01,81
370,sao joao da barra,20,BR,1560865380,73,-21.64,-41.05,4.7,77
371,isoka,0,ZM,1560865771,53,-10.15,32.64,7.14,67.66
372,ko samui,40,TH,1560865771,88,9.54,99.94,2.24,78.8
373,henties bay,1,NA,1560865431,45,-22.12,14.28,5.99,75
374,christchurch,0,NZ,1560865771,92,-43.53,172.64,2.24,32.92
375,berlevag,75,NO,1560865771,72,70.86,29.09,6.93,43.61
376,constitucion,75,MX,1560865361,67,23.99,-104.67,0.54,60.94
377,khani,75,GE,1560865771,58,41.96,42.96,14.99,86
378,tondano,40,ID,1560865771,94,1.3,124.91,1.12,77
379,high level,90,CA,1560865771,93,58.52,-117.13,3.36,59
380,mehamn,75,NO,1560865352,70,71.03,27.85,6.93,44.6
381,talnakh,33,RU,1560865354,70,69.49,88.39,17.9,48.2
382,saldanha,80,PT,1560865366,47,41.42,-6.55,15.95,71.8
383,yumen,100,CN,1560865437,28,40.29,97.04,3.2,74.5
384,imbituba,0,BR,1560865397,83,-28.24,-48.67,9.17,71.6
385,kapit,0,MY,1560865772,98,2.02,112.94,0.31,72.7
386,port elizabeth,20,US,1560865362,83,39.31,-74.98,3.38,75.04
387,karratha,0,AU,1560865772,55,-20.74,116.85,7.02,64.06
388,wyndham,75,GB,1560865772,87,51.61,-3.54,5.82,59.9
389,dubrovnik,20,HR,1560865772,33,42.65,18.09,4.7,85.03
390,mpongwe,18,ZM,1560865772,42,-13.51,28.16,5.28,71.62
391,sur,48,OM,1560865772,46,22.57,59.53,1.43,95.56
392,padang,94,ID,1560865391,68,-0.92,100.36,1.9,84.58
393,sulangan,0,PH,1560865379,69,11.14,123.72,4.63,85.48
394,tsiroanomandidy,39,MG,1560865772,56,-18.77,46.05,7.7,69.28
395,kushiro,0,JP,1560865772,88,43.11,144.15,3.96,49.12
396,muyezerskiy,8,RU,1560865773,67,63.93,31.65,7.52,67.12
397,palmer,0,AU,1560865366,87,-34.85,139.16,4.7,43.05
398,kirakira,90,SB,1560865773,84,-10.46,161.92,3.11,78.1
399,tabiauea,,,,,,,,
400,fairbanks,90,US,1560865251,62,64.84,-147.72,3.6,55.27
401,kahului,1,US,1560865404,78,20.89,-156.47,20.85,74.08
402,jamame,50,SO,1560865773,72,0.07,42.75,10.92,79.9
403,price,75,US,1560865773,76,39.6,-110.81,6.93,53.08
404,taft,84,PH,1560865773,97,11.9,125.42,2.04,73.42
405,mende,0,FR,1560865689,31,44.52,3.5,13.87,78.8
406,jiuquan,100,CN,1560865774,30,39.73,98.49,1.3,72.88
